                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9844,                 3.9861,                 1.9448,                0.57446,                0.06457,                0.05323,                0.03566,                 1.9972,                 3.8529,                 2.1181,             0.00010658,             0.00010658,             0.00010658
                     35,                 2.0144,                 3.9859,                 1.9568,                 0.5026,                0.04711,                0.04064,                0.02545,                 1.9769,                  3.914,                 2.0829,             0.00010503,             0.00010503,             0.00010503
                     36,                  2.004,                 3.9705,                 1.9547,                0.53541,                 0.0622,                0.03753,                0.02291,                  1.991,                 3.9214,                 2.0779,             0.00010349,             0.00010349,             0.00010349
                     37,                 1.9584,                 3.9568,                 1.9236,                0.43826,                0.06385,                0.04936,                0.03216,                 1.9768,                 3.9076,                 2.0473,             0.00010195,             0.00010195,             0.00010195
                     38,                 1.9698,                 3.9121,                 1.9219,                0.41528,                0.07395,                0.04239,                0.02746,                 1.9712,                 3.8847,                 2.0532,              0.0001004,              0.0001004,              0.0001004
                     39,                 1.9662,                 3.9069,                 1.9091,                0.52475,                0.06205,                0.03597,                0.02346,                 1.9454,                 3.9777,                 2.0227,             9.8857e-05,             9.8857e-05,             9.8857e-05
                     40,                 1.9401,                 3.8826,                 1.8965,                0.52086,                 0.0611,                 0.0541,                0.03436,                  2.004,                 3.9207,                 2.0553,             9.7313e-05,             9.7313e-05,             9.7313e-05
                     41,                 1.9256,                 3.9139,                 1.9128,                 0.4932,                0.05905,                 0.0356,                 0.0224,                 1.9356,                 3.8937,                  2.016,             9.5768e-05,             9.5768e-05,             9.5768e-05
                     42,                 1.8982,                 3.8635,                 1.8752,                0.49494,                0.05233,                0.03657,                0.02273,                 1.9371,                 3.8697,                  2.006,             9.4224e-05,             9.4224e-05,             9.4224e-05
                     43,                 1.9017,                 3.8313,                   1.84,                0.46766,                0.06794,                0.03785,                0.02478,                 1.9617,                 3.9021,                 2.0187,              9.268e-05,              9.268e-05,              9.268e-05
                     44,                 1.8772,                 3.7993,                 1.8458,                0.24359,                 0.1241,                0.03181,                0.01938,                 1.9808,                 3.8821,                 2.0397,             9.1135e-05,             9.1135e-05,             9.1135e-05
                     45,                 1.8853,                 3.8476,                 1.8313,                0.53614,                0.06146,                0.03802,                 0.0229,                 1.8856,                 3.8655,                 1.9591,             8.9591e-05,             8.9591e-05,             8.9591e-05
                     46,                 1.8856,                 3.8215,                 1.8479,                0.40296,                0.05958,                0.03754,                0.02445,                 1.8726,                  3.927,                 1.9478,             8.8046e-05,             8.8046e-05,             8.8046e-05
                     47,                 1.8656,                 3.7908,                 1.8362,                 0.5085,                0.05178,                0.03821,                0.02593,                 1.8815,                 3.8412,                  1.962,             8.6502e-05,             8.6502e-05,             8.6502e-05
                     48,                 1.8272,                 3.7703,                 1.7884,                0.41551,                0.05519,                0.03908,                0.02449,                 1.8954,                 3.8267,                 1.9578,             8.4958e-05,             8.4958e-05,             8.4958e-05
                     49,                 1.8551,                 3.7629,                 1.8067,                0.51166,                0.05883,                0.03866,                0.02582,                  1.921,                 3.8211,                 1.9811,             8.3413e-05,             8.3413e-05,             8.3413e-05
                     50,                 1.8704,                 3.7719,                 1.8172,                0.47662,                 0.0642,                0.03821,                0.02367,                 1.8968,                 3.8198,                 1.9501,             8.1869e-05,             8.1869e-05,             8.1869e-05
                     51,                 1.8288,                  3.738,                 1.7884,                0.51285,                0.07161,                0.04858,                0.03238,                 1.8558,                 3.8302,                 1.9347,             8.0324e-05,             8.0324e-05,             8.0324e-05
                     52,                 1.8265,                 3.7374,                 1.7864,                0.47698,                0.07491,                   0.05,                0.03196,                 1.8085,                   3.81,                 1.8755,              7.878e-05,              7.878e-05,              7.878e-05
                     53,                 1.8383,                 3.7112,                 1.7924,                 0.4469,                0.06432,                0.04809,                 0.0342,                 1.8635,                 3.7652,                 1.9317,             7.7236e-05,             7.7236e-05,             7.7236e-05
                     54,                 1.8154,                 3.6766,                 1.7576,                0.46327,                0.05826,                0.03967,                0.02339,                  1.857,                 3.8255,                 1.9314,             7.5691e-05,             7.5691e-05,             7.5691e-05
                     55,                 1.8327,                 3.6953,                  1.778,                 0.4464,                0.08101,                0.04087,                0.02538,                 1.8398,                 3.7984,                 1.9161,             7.4147e-05,             7.4147e-05,             7.4147e-05
                     56,                  1.825,                 3.6923,                 1.7839,                0.50021,                0.06935,                0.04307,                0.02884,                  1.829,                 3.7544,                 1.9074,             7.2602e-05,             7.2602e-05,             7.2602e-05
                     57,                 1.8034,                 3.6668,                 1.7649,                0.45345,                0.06045,                 0.0465,                0.02922,                 1.8293,                 3.7844,                 1.9179,             7.1058e-05,             7.1058e-05,             7.1058e-05
                     58,                  1.829,                 3.6836,                 1.7767,                0.53144,                0.06383,                0.05668,                0.03543,                 1.8631,                 3.7377,                 1.9283,             6.9514e-05,             6.9514e-05,             6.9514e-05
                     59,                 1.8123,                 3.6517,                 1.7508,                0.49205,                0.07095,                 0.0416,                0.02534,                  1.847,                 3.7734,                 1.9217,             6.7969e-05,             6.7969e-05,             6.7969e-05
                     60,                 1.7803,                  3.699,                 1.7477,                0.50965,                0.06339,                0.05587,                0.03378,                 1.8049,                 3.7497,                 1.8907,             6.6425e-05,             6.6425e-05,             6.6425e-05
                     61,                 1.7905,                  3.625,                 1.7361,                0.44397,                0.05524,                0.04264,                0.02773,                 1.8248,                 3.7371,                  1.899,              6.488e-05,              6.488e-05,              6.488e-05
                     62,                  1.782,                 3.6254,                 1.7285,                0.47899,                0.06519,                0.04485,                 0.0278,                 1.7976,                 3.7466,                 1.8691,             6.3336e-05,             6.3336e-05,             6.3336e-05
                     63,                 1.7712,                 3.6499,                 1.7141,                0.46999,                0.05491,                0.04221,                0.02649,                 1.7918,                 3.7305,                 1.8703,             6.1792e-05,             6.1792e-05,             6.1792e-05
                     64,                 1.7779,                 3.6079,                 1.7199,                 0.5391,                 0.0482,                 0.0519,                0.03041,                 1.8176,                 3.7415,                 1.8958,             6.0247e-05,             6.0247e-05,             6.0247e-05
                     65,                 1.8025,                 3.6607,                 1.7449,                0.43673,                0.05638,                0.04483,                0.02722,                 1.7937,                 3.7618,                 1.8732,             5.8703e-05,             5.8703e-05,             5.8703e-05
                     66,                 1.7715,                 3.6013,                 1.7127,                0.47772,                0.05476,                0.05008,                0.03055,                 1.8111,                 3.7216,                 1.8693,             5.7158e-05,             5.7158e-05,             5.7158e-05
                     67,                 1.7834,                 3.6325,                   1.72,                0.47952,                 0.0558,                0.04691,                 0.0282,                 1.8039,                  3.747,                 1.8924,             5.5614e-05,             5.5614e-05,             5.5614e-05
                     68,                 1.7798,                 3.6065,                 1.7095,                0.46554,                0.06941,                0.04352,                0.02598,                 1.7968,                 3.7448,                 1.8681,              5.407e-05,              5.407e-05,              5.407e-05
                     69,                 1.7428,                 3.5897,                 1.6958,                0.41594,                0.07334,                0.04427,                 0.0282,                 1.7938,                 3.7102,                 1.8697,             5.2525e-05,             5.2525e-05,             5.2525e-05
                     70,                 1.7821,                 3.6189,                 1.7157,                0.46914,                0.06087,                0.04871,                0.03109,                 1.7833,                 3.7165,                 1.8627,             5.0981e-05,             5.0981e-05,             5.0981e-05
                     71,                 1.7607,                 3.5867,                 1.7034,                0.47517,                 0.0693,                0.05024,                0.03094,                 1.7944,                 3.7628,                 1.8847,             4.9436e-05,             4.9436e-05,             4.9436e-05
                     72,                 1.7536,                 3.5608,                 1.7056,                0.47335,                0.06628,                0.04423,                0.02594,                 1.7857,                  3.723,                 1.8809,             4.7892e-05,             4.7892e-05,             4.7892e-05
                     73,                 1.7499,                 3.5774,                 1.7056,                0.45699,                0.05645,                0.04221,                0.02496,                 1.8118,                 3.7319,                 1.8772,             4.6348e-05,             4.6348e-05,             4.6348e-05
                     74,                 1.7299,                 3.5276,                 1.6724,                0.43378,                0.08218,                0.04454,                0.02595,                 1.7762,                 3.7694,                 1.8508,             4.4803e-05,             4.4803e-05,             4.4803e-05
                     75,                 1.7268,                 3.5396,                 1.6907,                0.50389,                0.07286,                0.04178,                0.02658,                 1.7856,                   3.71,                 1.8449,             4.3259e-05,             4.3259e-05,             4.3259e-05
                     76,                 1.7303,                 3.5446,                  1.684,                 0.4792,                0.06657,                0.04572,                0.02833,                 1.7988,                 3.7415,                 1.8825,             4.1714e-05,             4.1714e-05,             4.1714e-05
                     77,                 1.7001,                 3.5528,                 1.6637,                0.49471,                 0.0714,                0.04088,                0.02578,                 1.7709,                 3.7062,                 1.8381,              4.017e-05,              4.017e-05,              4.017e-05
                     78,                 1.7326,                 3.5173,                 1.6763,                0.48117,                0.07693,                0.04047,                0.02606,                 1.7832,                 3.7409,                 1.8662,             3.8626e-05,             3.8626e-05,             3.8626e-05
                     79,                 1.6971,                 3.5171,                  1.657,                0.45786,                0.07067,                0.03816,                0.02394,                 1.7875,                 3.7488,                 1.8497,             3.7081e-05,             3.7081e-05,             3.7081e-05
                     80,                 1.7018,                 3.5088,                 1.6505,                0.45521,                0.07548,                0.03514,                0.02289,                 1.7827,                 3.7501,                 1.8513,             3.5537e-05,             3.5537e-05,             3.5537e-05
                     81,                 1.7087,                 3.5586,                 1.6865,                0.41346,                0.06689,                0.04091,                0.02776,                 1.7814,                 3.6967,                 1.8481,             3.3992e-05,             3.3992e-05,             3.3992e-05
                     82,                 1.7033,                 3.5034,                 1.6696,                0.49276,                0.06467,                0.04412,                0.02981,                 1.7856,                 3.7372,                 1.8603,             3.2448e-05,             3.2448e-05,             3.2448e-05
                     83,                 1.7101,                 3.4894,                 1.6722,                 0.4874,                 0.0749,                0.03873,                0.02459,                 1.7709,                 3.7043,                 1.8524,             3.0904e-05,             3.0904e-05,             3.0904e-05
                     84,                 1.7173,                 3.5259,                  1.686,                0.45208,                0.07647,                0.04346,                0.02955,                  1.773,                 3.7103,                 1.8388,             2.9359e-05,             2.9359e-05,             2.9359e-05
                     85,                 1.6884,                 3.4496,                 1.6416,                0.44524,                0.06583,                0.03824,                 0.0259,                 1.7851,                 3.7357,                 1.8425,             2.7815e-05,             2.7815e-05,             2.7815e-05
                     86,                 1.6998,                 3.5116,                 1.6689,                0.45321,                0.07105,                0.04273,                0.02847,                 1.7732,                  3.711,                  1.835,              2.627e-05,              2.627e-05,              2.627e-05
                     87,                 1.7234,                 3.4894,                 1.6696,                0.45723,                0.07149,                0.04446,                0.03042,                 1.7827,                 3.7182,                 1.8356,             2.4726e-05,             2.4726e-05,             2.4726e-05
                     88,                 1.7014,                 3.5118,                 1.6695,                0.42532,                0.07478,                0.04136,                0.02807,                 1.7776,                 3.7084,                 1.8349,             2.3182e-05,             2.3182e-05,             2.3182e-05
                     89,                 1.7204,                 3.5499,                 1.6704,                0.48111,                0.07251,                0.04092,                 0.0276,                  1.782,                 3.6855,                 1.8319,             2.1637e-05,             2.1637e-05,             2.1637e-05
                     90,                 1.6999,                 3.4702,                 1.6503,                0.45404,                0.07253,                0.03995,                0.02707,                 1.7848,                 3.7197,                 1.8432,             2.0093e-05,             2.0093e-05,             2.0093e-05
                     91,                  1.681,                  3.636,                 1.6537,                0.41956,                0.06502,                0.03953,                0.02562,                 1.7868,                 3.7078,                 1.7958,             1.8548e-05,             1.8548e-05,             1.8548e-05
                     92,                 1.6692,                 3.6303,                 1.6584,                 0.3846,                0.06826,                0.04349,                0.02803,                 1.7942,                 3.6763,                 1.7907,             1.7004e-05,             1.7004e-05,             1.7004e-05
                     93,                 1.6711,                 3.5944,                   1.65,                0.40885,                0.07002,                0.04286,                 0.0277,                 1.8209,                 3.6952,                 1.8063,              1.546e-05,              1.546e-05,              1.546e-05
                     94,                 1.6584,                 3.5658,                 1.6361,                0.40779,                0.06718,                 0.0454,                0.03027,                  1.817,                  3.679,                 1.8134,             1.3915e-05,             1.3915e-05,             1.3915e-05
                     95,                 1.6376,                 3.5626,                 1.6273,                 0.4096,                 0.0683,                0.04578,                0.03048,                   1.83,                 3.6778,                 1.8105,             1.2371e-05,             1.2371e-05,             1.2371e-05
                     96,                 1.6593,                 3.5926,                 1.6474,                0.47295,                0.06718,                0.04669,                0.03084,                   1.81,                 3.6646,                  1.805,             1.0826e-05,             1.0826e-05,             1.0826e-05
                     97,                 1.6461,                 3.5531,                 1.6314,                0.47477,                0.05873,                0.05052,                 0.0344,                 1.8069,                 3.6656,                 1.8107,              9.282e-06,              9.282e-06,              9.282e-06
                     98,                 1.6516,                 3.5687,                 1.6316,                0.47692,                0.05937,                0.04792,                0.03135,                 1.8217,                 3.6662,                 1.8068,             7.7376e-06,             7.7376e-06,             7.7376e-06
                     99,                 1.6534,                 3.5492,                 1.6271,                0.46992,                0.06718,                0.04558,                0.03059,                 1.8151,                 3.6632,                 1.8009,             6.1932e-06,             6.1932e-06,             6.1932e-06
                    100,                 1.6444,                 3.5492,                 1.6265,                0.50169,                0.06785,                0.04716,                0.03207,                 1.8151,                 3.6622,                 1.8019,             4.6488e-06,             4.6488e-06,             4.6488e-06
